"Date(UTC)","UnixTimeStamp","Value"
"3/4/2022","1646352000","34927"
"3/5/2022","1646438400","23815"
"3/6/2022","1646524800","28540"
"3/7/2022","1646611200","36432"
"3/8/2022","1646697600","36763"
"3/9/2022","1646784000","37875"
"3/10/2022","1646870400","44041"
"3/11/2022","1646956800","37214"
"3/12/2022","1647043200","22368"
"3/13/2022","1647129600","22920"
"3/14/2022","1647216000","28450"
"3/15/2022","1647302400","27622"
"3/16/2022","1647388800","45719"
"3/17/2022","1647475200","29603"
"3/18/2022","1647561600","31170"
"3/19/2022","1647648000","32980"
"3/20/2022","1647734400","33236"
"3/21/2022","1647820800","34863"
"3/22/2022","1647907200","36235"
"3/23/2022","1647993600","42073"
"3/24/2022","1648080000","50623"
"3/25/2022","1648166400","42618"
"3/26/2022","1648252800","30465"
"3/27/2022","1648339200","33248"
"3/28/2022","1648425600","52974"
"3/29/2022","1648512000","58815"
"3/30/2022","1648598400","62668"
"3/31/2022","1648684800","59580"
"4/1/2022","1648771200","54464"
"4/2/2022","1648857600","47005"
"4/3/2022","1648944000","40011"
"4/4/2022","1649030400","42595"
"4/5/2022","1649116800","36914"
"4/6/2022","1649203200","72330"
"4/7/2022","1649289600","51748"
"4/8/2022","1649376000","52867"
"4/9/2022","1649462400","38216"
"4/10/2022","1649548800","35347"
"4/11/2022","1649635200","62052"
"4/12/2022","1649721600","47981"
"4/13/2022","1649808000","44517"
"4/14/2022","1649894400","48453"
"4/15/2022","1649980800","44228"
"4/16/2022","1650067200","34618"
"4/17/2022","1650153600","38313"
"4/18/2022","1650240000","45485"
"4/19/2022","1650326400","49401"
"4/20/2022","1650412800","83864"
"4/21/2022","1650499200","71619"
"4/22/2022","1650585600","66816"
"4/23/2022","1650672000","64676"
"4/24/2022","1650758400","63263"
"4/25/2022","1650844800","63602"
"4/26/2022","1650931200","76087"
"4/27/2022","1651017600","94305"
"4/28/2022","1651104000","66252"
"4/29/2022","1651190400","70823"
"4/30/2022","1651276800","75047"
"5/1/2022","1651363200","55612"
"5/2/2022","1651449600","59378"
"5/3/2022","1651536000","53887"
"5/4/2022","1651622400","78199"
"5/5/2022","1651708800","81367"
"5/6/2022","1651795200","88490"
"5/7/2022","1651881600","73399"
"5/8/2022","1651968000","87382"
"5/9/2022","1652054400","129371"
"5/10/2022","1652140800","164480"
"5/11/2022","1652227200","215790"
"5/12/2022","1652313600","162661"
"5/13/2022","1652400000","111875"
"5/14/2022","1652486400","86771"
"5/15/2022","1652572800","72383"
"5/16/2022","1652659200","77079"
"5/17/2022","1652745600","58523"
"5/18/2022","1652832000","67093"
"5/19/2022","1652918400","69988"
"5/20/2022","1653004800","62556"
"5/21/2022","1653091200","55305"
"5/22/2022","1653177600","54105"
"5/23/2022","1653264000","68596"
"5/24/2022","1653350400","66511"
"5/25/2022","1653436800","62354"
"5/26/2022","1653523200","74031"
"5/27/2022","1653609600","89510"
"5/28/2022","1653696000","61240"
"5/29/2022","1653782400","52397"
"5/30/2022","1653868800","67407"
"5/31/2022","1653955200","273789"
"6/1/2022","1654041600","487814"
"6/2/2022","1654128000","246024"
"6/3/2022","1654214400","131665"
"6/4/2022","1654300800","109230"
"6/5/2022","1654387200","89594"
"6/6/2022","1654473600","96833"
"6/7/2022","1654560000","109881"
"6/8/2022","1654646400","108684"
"6/9/2022","1654732800","91974"
"6/10/2022","1654819200","102377"
"6/11/2022","1654905600","118200"
"6/12/2022","1654992000","141389"
"6/13/2022","1655078400","192835"
"6/14/2022","1655164800","153278"
