"Date(UTC)","UnixTimeStamp","Value"
"11/16/2022","1668556800","344687"
"11/17/2022","1668643200","317824"
"11/18/2022","1668729600","304880"
"11/19/2022","1668816000","456633"
"11/20/2022","1668902400","496830"
"11/21/2022","1668988800","502360"
"11/22/2022","1669075200","462353"
"11/23/2022","1669161600","415646"
"11/24/2022","1669248000","354543"
"11/25/2022","1669334400","353067"
"11/26/2022","1669420800","336959"
"11/27/2022","1669507200","323965"
"11/28/2022","1669593600","344099"
"11/29/2022","1669680000","377800"
"11/30/2022","1669766400","400947"
"12/1/2022","1669852800","372484"
"12/2/2022","1669939200","367326"
"12/3/2022","1670025600","369486"
"12/4/2022","1670112000","404872"
"12/5/2022","1670198400","355962"
"12/6/2022","1670284800","363933"
"12/7/2022","1670371200","345724"
"12/8/2022","1670457600","338466"
"12/9/2022","1670544000","314760"
"12/10/2022","1670630400","270548"
"12/11/2022","1670716800","260143"
"12/12/2022","1670803200","381911"
"12/13/2022","1670889600","364826"
"12/14/2022","1670976000","352658"
"12/15/2022","1671062400","382892"
"12/16/2022","1671148800","352498"
"12/17/2022","1671235200","284366"
"12/18/2022","1671321600","257643"
"12/19/2022","1671408000","262839"
"12/20/2022","1671494400","309079"
"12/21/2022","1671580800","319826"
"12/22/2022","1671667200","293206"
"12/23/2022","1671753600","280050"
"12/24/2022","1671840000","341586"
"12/25/2022","1671926400","296421"
"12/26/2022","1672012800","260078"
"12/27/2022","1672099200","238311"
"12/28/2022","1672185600","237527"
"12/29/2022","1672272000","220037"
"12/30/2022","1672358400","324411"
"12/31/2022","1672444800","208489"
"1/1/2023","1672531200","159919"
"1/2/2023","1672617600","205308"
"1/3/2023","1672704000","290664"
"1/4/2023","1672790400","367636"
"1/5/2023","1672876800","245607"
"1/6/2023","1672963200","264325"
"1/7/2023","1673049600","250369"
"1/8/2023","1673136000","227274"
"1/9/2023","1673222400","297229"
"1/10/2023","1673308800","305090"
"1/11/2023","1673395200","321835"
"1/12/2023","1673481600","349759"
"1/13/2023","1673568000","285367"
"1/14/2023","1673654400","346460"
"1/15/2023","1673740800","307079"
"1/16/2023","1673827200","293754"
"1/17/2023","1673913600","284375"
"1/18/2023","1674000000","288688"
"1/19/2023","1674086400","250050"
"1/20/2023","1674172800","277608"
"1/21/2023","1674259200","280277"
"1/22/2023","1674345600","268763"
"1/23/2023","1674432000","301947"
"1/24/2023","1674518400","303977"
"1/25/2023","1674604800","323421"
"1/26/2023","1674691200","363504"
"1/27/2023","1674777600","408303"
"1/28/2023","1674864000","326145"
"1/29/2023","1674950400","358460"
"1/30/2023","1675036800","408292"
"1/31/2023","1675123200","347105"
"2/1/2023","1675209600","418734"
"2/2/2023","1675296000","432810"
"2/3/2023","1675382400","379157"
"2/4/2023","1675468800","403441"
"2/5/2023","1675555200","434921"
"2/6/2023","1675641600","462225"
"2/7/2023","1675728000","508248"
"2/8/2023","1675814400","533292"
"2/9/2023","1675900800","509653"
"2/10/2023","1675987200","504833"
"2/11/2023","1676073600","383227"
"2/12/2023","1676160000","445828"
"2/13/2023","1676246400","492823"
"2/14/2023","1676332800","532286"
"2/15/2023","1676419200","569748"
"2/16/2023","1676505600","628015"
"2/17/2023","1676592000","690174"
"2/18/2023","1676678400","643363"
"2/19/2023","1676764800","696359"
"2/20/2023","1676851200","929689"
"2/21/2023","1676937600","1103398"
"2/22/2023","1677024000","1093187"
"2/23/2023","1677110400","952185"
"2/24/2023","1677196800","766543"
"2/25/2023","1677283200","629713"
"2/26/2023","1677369600","574264"
"2/27/2023","1677456000","833736"
"2/28/2023","1677542400","716283"
"3/1/2023","1677628800","676971"
"3/2/2023","1677715200","649377"
"3/3/2023","1677801600","632899"
"3/4/2023","1677888000","529073"
"3/5/2023","1677974400","460555"
"3/6/2023","1678060800","555888"
"3/7/2023","1678147200","598009"
"3/8/2023","1678233600","672838"
"3/9/2023","1678320000","758274"
"3/10/2023","1678406400","753227"
"3/11/2023","1678492800","617273"
"3/12/2023","1678579200","516861"
"3/13/2023","1678665600","605712"
"3/14/2023","1678752000","793254"
"3/15/2023","1678838400","786289"
"3/16/2023","1678924800","1079668"
"3/17/2023","1679011200","999362"
"3/18/2023","1679097600","958725"
"3/19/2023","1679184000","934573"
"3/20/2023","1679270400","1047633"
"3/21/2023","1679356800","1312052"
"3/22/2023","1679443200","1218525"
"3/23/2023","1679529600","2733872"
"3/24/2023","1679616000","1821298"
"3/25/2023","1679702400","1113350"
"3/26/2023","1679788800","1048636"
"3/27/2023","1679875200","1172854"
"3/28/2023","1679961600","1062950"
"3/29/2023","1680048000","1016818"
"3/30/2023","1680134400","1485928"
"3/31/2023","1680220800","1006700"
"4/1/2023","1680307200","868174"
"4/2/2023","1680393600","976253"
"4/3/2023","1680480000","1286264"
"4/4/2023","1680566400","1008970"
"4/5/2023","1680652800","1089055"
"4/6/2023","1680739200","1146710"
"4/7/2023","1680825600","959328"
"4/8/2023","1680912000","989101"
"4/9/2023","1680998400","1159783"
"4/10/2023","1681084800","1071214"
"4/11/2023","1681171200","1055074"
"4/12/2023","1681257600","1071613"
"4/13/2023","1681344000","1038988"
"4/14/2023","1681430400","1328397"
"4/15/2023","1681516800","1332644"
"4/16/2023","1681603200","1111143"
"4/17/2023","1681689600","1939877"
"4/18/2023","1681776000","1375796"
"4/19/2023","1681862400","1575499"
"4/20/2023","1681948800","1461723"
"4/21/2023","1682035200","1105988"
"4/22/2023","1682121600","1387309"
"4/23/2023","1682208000","1266198"
"4/24/2023","1682294400","1319439"
"4/25/2023","1682380800","1267981"
"4/26/2023","1682467200","1220263"
"4/27/2023","1682553600","1261440"
"4/28/2023","1682640000","905199"
"4/29/2023","1682726400","910032"
"4/30/2023","1682812800","1252865"
"5/1/2023","1682899200","1018002"
"5/2/2023","1682985600","1073493"
"5/3/2023","1683072000","1041952"
"5/4/2023","1683158400","932881"
"5/5/2023","1683244800","973407"
"5/6/2023","1683331200","1146254"
"5/7/2023","1683417600","873310"
"5/8/2023","1683504000","876597"
"5/9/2023","1683590400","1117304"
"5/10/2023","1683676800","1020483"
"5/11/2023","1683763200","1114720"
"5/12/2023","1683849600","920159"
"5/13/2023","1683936000","767087"
"5/14/2023","1684022400","726611"
"5/15/2023","1684108800","779228"
"5/16/2023","1684195200","796956"
"5/17/2023","1684281600","752309"
"5/18/2023","1684368000","703535"
"5/19/2023","1684454400","700519"
"5/20/2023","1684540800","699844"
"5/21/2023","1684627200","678889"
"5/22/2023","1684713600","733015"
"5/23/2023","1684800000","844389"
"5/24/2023","1684886400","928003"
"5/25/2023","1684972800","1111599"
"5/26/2023","1685059200","992677"
"5/27/2023","1685145600","846023"
"5/28/2023","1685232000","826559"
"5/29/2023","1685318400","873295"
"5/30/2023","1685404800","1020254"
"5/31/2023","1685491200","909448"
"6/1/2023","1685577600","745153"
"6/2/2023","1685664000","824298"
"6/3/2023","1685750400","966038"
"6/4/2023","1685836800","807675"
"6/5/2023","1685923200","883409"
"6/6/2023","1686009600","973797"
"6/7/2023","1686096000","795282"
"6/8/2023","1686182400","724079"
"6/9/2023","1686268800","769461"
"6/10/2023","1686355200","955769"
"6/11/2023","1686441600","807129"
"6/12/2023","1686528000","998613"
"6/13/2023","1686614400","865213"
"6/14/2023","1686700800","847519"
"6/15/2023","1686787200","845638"
"6/16/2023","1686873600","794149"
"6/17/2023","1686960000","715037"
"6/18/2023","1687046400","657172"
"6/19/2023","1687132800","751682"
"6/20/2023","1687219200","833918"
"6/21/2023","1687305600","946079"
"6/22/2023","1687392000","803213"
"6/23/2023","1687478400","770357"
"6/24/2023","1687564800","679804"
"6/25/2023","1687651200","758259"
"6/26/2023","1687737600","873588"
"6/27/2023","1687824000","886695"
"6/28/2023","1687910400","856112"
"6/29/2023","1687996800","911564"
"6/30/2023","1688083200","1004947"
"7/1/2023","1688169600","705859"
"7/2/2023","1688256000","753954"
"7/3/2023","1688342400","837170"
"7/4/2023","1688428800","760143"
"7/5/2023","1688515200","671849"
"7/6/2023","1688601600","748507"
"7/7/2023","1688688000","742667"
"7/8/2023","1688774400","719118"
"7/9/2023","1688860800","688407"
"7/10/2023","1688947200","749801"
"7/11/2023","1689033600","739871"
"7/12/2023","1689120000","746271"
"7/13/2023","1689206400","841670"
"7/14/2023","1689292800","896936"
"7/15/2023","1689379200","751982"
"7/16/2023","1689465600","696932"
"7/17/2023","1689552000","802867"
"7/18/2023","1689638400","716020"
"7/19/2023","1689724800","737454"
"7/20/2023","1689811200","745952"
"7/21/2023","1689897600","684112"
"7/22/2023","1689984000","638687"
"7/23/2023","1690070400","653263"
"7/24/2023","1690156800","680926"
"7/25/2023","1690243200","632054"
"7/26/2023","1690329600","666431"
"7/27/2023","1690416000","658013"
"7/28/2023","1690502400","583688"
"7/29/2023","1690588800","563793"
"7/30/2023","1690675200","600694"
"7/31/2023","1690761600","673080"
"8/1/2023","1690848000","646286"
"8/2/2023","1690934400","632409"
"8/3/2023","1691020800","675236"
"8/4/2023","1691107200","654592"
"8/5/2023","1691193600","578103"
"8/6/2023","1691280000","563887"
"8/7/2023","1691366400","639187"
"8/8/2023","1691452800","654710"
"8/9/2023","1691539200","627133"
"8/10/2023","1691625600","618556"
"8/11/2023","1691712000","585751"
"8/12/2023","1691798400","486458"
"8/13/2023","1691884800","544575"
"8/14/2023","1691971200","581250"
"8/15/2023","1692057600","588121"
"8/16/2023","1692144000","594814"
"8/17/2023","1692230400","896526"
"8/18/2023","1692316800","705773"
"8/19/2023","1692403200","638002"
"8/20/2023","1692489600","533326"
"8/21/2023","1692576000","559337"
"8/22/2023","1692662400","578606"
"8/23/2023","1692748800","608982"
"8/24/2023","1692835200","539676"
"8/25/2023","1692921600","696778"
"8/26/2023","1693008000","533254"
"8/27/2023","1693094400","473341"
"8/28/2023","1693180800","505189"
"8/29/2023","1693267200","562727"
"8/30/2023","1693353600","517395"
"8/31/2023","1693440000","658635"
"9/1/2023","1693526400","575507"
"9/2/2023","1693612800","509348"
"9/3/2023","1693699200","431699"
"9/4/2023","1693785600","469795"
"9/5/2023","1693872000","571086"
"9/6/2023","1693958400","509199"
"9/7/2023","1694044800","511005"
"9/8/2023","1694131200","507962"
"9/9/2023","1694217600","434557"
"9/10/2023","1694304000","471559"
"9/11/2023","1694390400","554718"
"9/12/2023","1694476800","530028"
"9/13/2023","1694563200","484183"
"9/14/2023","1694649600","503655"
"9/15/2023","1694736000","480229"
"9/16/2023","1694822400","442705"
"9/17/2023","1694908800","423418"
"9/18/2023","1694995200","536388"
"9/19/2023","1695081600","560929"
"9/20/2023","1695168000","638839"
"9/21/2023","1695254400","924942"
"9/22/2023","1695340800","595293"
"9/23/2023","1695427200","463860"
"9/24/2023","1695513600","498603"
"9/25/2023","1695600000","524743"
"9/26/2023","1695686400","592202"
"9/27/2023","1695772800","680302"
"9/28/2023","1695859200","751000"
"9/29/2023","1695945600","728099"
"9/30/2023","1696032000","703396"
"10/1/2023","1696118400","705496"
"10/2/2023","1696204800","613878"
"10/3/2023","1696291200","654508"
"10/4/2023","1696377600","636751"
"10/5/2023","1696464000","628329"
"10/6/2023","1696550400","702759"
"10/7/2023","1696636800","585294"
"10/8/2023","1696723200","478082"
"10/9/2023","1696809600","546068"
"10/10/2023","1696896000","745449"
"10/11/2023","1696982400","523779"
"10/12/2023","1697068800","490321"
"10/13/2023","1697155200","427926"
"10/14/2023","1697241600","361241"
"10/15/2023","1697328000","354933"
"10/16/2023","1697414400","566769"
"10/17/2023","1697500800","464420"
"10/18/2023","1697587200","480002"
"10/19/2023","1697673600","486121"
"10/20/2023","1697760000","519787"
"10/21/2023","1697846400","471199"
"10/22/2023","1697932800","489407"
"10/23/2023","1698019200","627220"
